endereco,bairro,cep,id_endereco,id_cidade,id_bairro,lat_char,long_char,lat_num,long_num,cras,creas
Rua Ana Maria de Jesus,Parque das Oliveiras,14065779,230290,9560,31008,"","",-21.1180192,-47.8349731,7,2
Rua João Marzola,Parque das Oliveiras,14065780,230291,9560,31008,"","",-21.1174613,-47.8349696,7,2
Rua Luiz Fabiano Anholetto,Parque das Oliveiras,14065785,230295,9560,31008,"","",-21.1186336,-47.8326507,7,2
Rua Napoleão Pereira Lins,Parque das Oliveiras,14065770,230282,9560,31008,"","",-21.119159,-47.838713,7,2
Rua Adelaide Sumarelli dos Santos,Parque das Oliveiras,14065775,230286,9560,31008,"","",-21.118483,-47.836647,7,2
Rua Maximiano Toscano,Parque das Oliveiras,14065771,230283,9560,31008,"","",-21.118960,-47.837362,7,2
Rua Alcides Gonçalves,Parque das Oliveiras,14065781,230292,9560,31008,"","",-21.117156,-47.835223,7,2
Rua Deocacina Brunhara Approbato,Parque das Oliveiras,14065782,230293,9560,31008,"","",-21.116771,-47.835572,7,2
Rua Benedita Melo da Silva,Parque das Oliveiras,14065783,230294,9560,31008,"","",-21.116606,-47.834520,7,2
Rua Laurentino Gonçalves,Parque das Oliveiras,14065757,230273,9560,31008,"","",-21.119833,-47.838525,7,2
Rua Vinte e Cinco,Parque das Oliveiras,14065765,230279,9560,31008,"","",-21.122482,-47.843114,7,2
Rua Vinte e Três,Parque das Oliveiras,14065768,230281,9560,31008,"","",-21.122442,-47.841408,7,2
Rua Vinte e Seis,Parque das Oliveiras,14065776,230287,9560,31008,"","",-21.118349,-47.835637,7,2
Rua Waldemar Tamburus,Parque das Oliveiras,14065772,230284,9560,31008,"","",-21.119586,-47.836495,7,2
Rua Renato Barillari,Parque Ribeirão Preto,14031070,228304,9560,23385,"","",-21.2019324,-47.8313896,10,5
Rua José Cláudio Louzada,Parque Ribeirão Preto,14031080,228305,9560,23385,"","",-21.2041704,-47.8333096,10,5
Rua Abel Conceição,Parque Ribeirão Preto,14031090,228306,9560,23385,"","",-21.2028708,-47.8334711,10,5
Rua Benedito Quartin,Parque Ribeirão Preto,14031110,228308,9560,23385,"","",-21.2050145,-47.8361201,10,5
Rua Aristides Bernardes Barreto,Parque Ribeirão Preto,14031120,228309,9560,23385,"","",-21.2023642,-47.8355915,10,5
Rua Afonso Villa,Parque Ribeirão Preto,14031130,228310,9560,23385,"","",-21.2046826,-47.8375073,10,5
Rua Pedro Marzola,Parque Ribeirão Preto,14031140,228311,9560,23385,"","",-21.2042021,-47.8380555,10,5
Rua Franco da Rocha,Parque Ribeirão Preto,14031152,228313,9560,23385,"","",-21.1967503,-47.8354877,10,5
Rua Imigrantes Japoneses,Parque Ribeirão Preto,14031160,228314,9560,23385,"","",-21.2043681,-47.8398060,10,5
Avenida Cásper Líbero,Parque Ribeirão Preto,14031190,228321,9560,23385,"","",-21.2027801,-47.8455986,10,5
Rua Waldomiro Machado,Parque Ribeirão Preto,14031210,228324,9560,23385,"","",-21.1980288,-47.8330894,10,5
Rua Coronel Joaquim Vieira de Souza,Parque Ribeirão Preto,14031220,228325,9560,23385,"","",-21.1984205,-47.8340935,10,5
Avenida Luzitana,Parque Ribeirão Preto,14031230,228326,9560,23385,"","",-21.2012141,-47.8326312,10,5
Avenida Oswaldo Aranha,Parque Ribeirão Preto,14031238,228327,9560,23385,"","",-21.1994091,-47.8386910,10,5
Avenida Luzitana,Parque Ribeirão Preto,14031240,228329,9560,23385,"","",-21.2012141,-47.8326312,10,5
Avenida Monteiro Lobato,Parque Ribeirão Preto,14031243,228330,9560,23385,"","",-21.1955452,-47.8392290,10,5
Avenida Monteiro Lobato,Parque Ribeirão Preto,14031246,228331,9560,23385,"","",-21.1955156,-47.8390702,10,5
Rua Vereador Antônio Nogueira de Oliveira,Parque Ribeirão Preto,14031250,228332,9560,23385,"","",-21.2000206,-47.8381706,10,5
Rua João Elias,Parque Ribeirão Preto,14031259,228333,9560,23385,"","",-21.2004951,-47.8387084,10,5
Rua Professor Renato Jardim,Parque Ribeirão Preto,14031260,228334,9560,23385,"","",-21.1999797,-47.8404318,10,5
Rua Comandante Armando Marin,Parque Ribeirão Preto,14031340,228361,9560,23385,"","",-21.1950760,-47.8427483,10,5
Rua Joaquim Novas,Parque Ribeirão Preto,14031350,228362,9560,23385,"","",-21.1951531,-47.8437408,10,5
Rua Valeriano Reis,Parque Ribeirão Preto,14031360,228363,9560,23385,"","",-21.1961758,-47.8437097,10,5
Rua Professor Renato Jardim,Parque Ribeirão Preto,14031365,228364,9560,23385,"","",-21.1999780,-47.8404337,10,5
Rua Juvenal Guimarães,Parque Ribeirão Preto,14031370,228365,9560,23385,"","",-21.1971838,-47.8447153,10,5
Rua Joaquim Marques,Parque Ribeirão Preto,14031380,228366,9560,23385,"","",-21.1976686,-47.8452339,10,5
Rua Alfredo Condeixa,Parque Ribeirão Preto,14031383,228367,9560,23385,"","",-21.2014424,-47.8419914,10,5
Rua Ângelo Egydio Pedreschi,Parque Ribeirão Preto,14031390,228368,9560,23385,"","",-21.2022586,-47.8421361,10,5
Rua Emílio Gullaci,Parque Ribeirão Preto,14031060,228303,9560,23385,"","",-21.200937,-47.830071,10,5
Praça Chico Mendes,Parque Ribeirão Preto,14031239,228328,9560,23385,"","",-21.198745,-47.838572,10,5
Avenida Professor Pedreira de Freitas,Parque Ribeirão Preto,14031400,228369,9560,23385,"","",-21.1992860,-47.8468284,10,5
Avenida Professor Pedreira de Freitas,Parque Ribeirão Preto,14031410,228370,9560,23385,"","",-21.1992860,-47.8468284,10,5
Rua Dante Senno,Parque Ribeirão Preto,14031420,228371,9560,23385,"","",-21.1997797,-47.8472971,10,5
Rua Gui Saad Salomão,Parque Ribeirão Preto,14031430,228372,9560,23385,"","",-21.1997723,-47.8483917,10,5
Rua Professor Wlademir Pinto Ferraz,Parque Ribeirão Preto,14031440,228373,9560,23385,"","",-21.2027385,-47.8461058,10,5
Rua Doutor Eugênio Casilo,Parque Ribeirão Preto,14031442,228374,9560,23385,"","",-21.2021461,-47.8477983,10,5
Rua Major Ricardo Guimarães,Parque Ribeirão Preto,14031450,228375,9560,23385,"","",-21.2026439,-47.8483028,10,5
Rua João Dias de Arruda,Parque Ribeirão Preto,14031460,228376,9560,23385,"","",-21.2007379,-47.8515433,10,5
Rua Floriano Leite Ribeiro,Parque Ribeirão Preto,14031470,228377,9560,23385,"","",-21.2018108,-47.8514517,10,5
Rua Luiz Antônio de Oliveira,Parque Ribeirão Preto,14031490,228382,9560,23385,"","",-21.2017427,-47.8536400,10,5
Rua Samuel Martinelli,Parque Ribeirão Preto,14031500,228383,9560,23385,"","",-21.2022411,-47.8541396,10,5
Rua Benedito Fernandes Pereira,Parque Ribeirão Preto,14031510,228392,9560,23385,"","",-21.1996078,-47.8424599,10,5
Rua Paulo Murakami,Parque Ribeirão Preto,14031519,228393,9560,23385,"","",-21.1963200,-47.8400909,10,5
Rua Lúcio de Mendonça,Parque Ribeirão Preto,14031530,228397,9560,23385,"","",-21.1950989,-47.8409102,10,5
Rua Manuel de Macedo,Parque Ribeirão Preto,14031540,228398,9560,23385,"","",-21.1951261,-47.8426146,10,5
Rua Júlio Ribeiro,Parque Ribeirão Preto,14031550,228399,9560,23385,"","",-21.1942050,-47.8439145,10,5
Rua Renato Camperoni,Parque das Oliveiras,14065786,230296,9560,31008,"","",-21.1161375,-47.8342678,7,2
Rua Francisco Seixas Ribeiro da Costa,Parque das Oliveiras,14065787,230297,9560,31008,"","",-21.1157114,-47.8338794,7,2
Rua Cruz e Souza,Parque Ribeirão Preto,14031560,228400,9560,23385,"","",-21.1928003,-47.8447991,10,5
Rua Major Milton da Rocha Alencar,Parque Ribeirão Preto,14031570,228401,9560,23385,"","",-21.2016272,-47.8557373,10,5
Avenida Patriarca,Parque Ribeirão Preto,14031580,228402,9560,23385,"","",-21.1914044,-47.8448292,10,5
Rua Alfredo Condeixa,Parque Ribeirão Preto,14031900,232540,9560,23385,"","",-21.1981458,-47.8449101,10,5
Rua José Adriano Marrey Júnior,Parque Ribeirão Preto,14031480,228380,9560,23385,"","",-21.200934,-47.853477,10,5
Rua Oito,Alta Vista,14059253,229641,9560,64931,"","",-21.1704008,-47.8103238,NULL,1
Rua Treze,Alta Vista,14059257,229642,9560,64931,"","",-21.1928371,-47.7168367,NULL,1
Rua Quinze,Alta Vista,14059260,229643,9560,64931,"","",-21.20770980,-47.84099600,NULL,1
Rua Quatorze,Alta Vista,14059263,229644,9560,64931,"","",-21.19313370,-47.71794530,NULL,1
Rua Doze,Alta Vista,14059265,229645,9560,64931,"","",-21.1927195,-47.7157466,NULL,1
Rua Dez,Alta Vista,14059267,229646,9560,64931,"","",-21.1430006,-47.7686655,NULL,1
Rua Onze,Alta Vista,14059270,229647,9560,64931,"","",-21.2068223,-47.8432167,NULL,1
Rua Nove,Alta Vista,14059273,229648,9560,64931,"","",-21.20627670,-47.84508430,NULL,1
Rua Seis,Alta Vista,14059275,229649,9560,64931,"","",-21.2041403,-47.8566613,NULL,1
Rua Sete,Alta Vista,14059277,229650,9560,64931,"","",-21.2286509,-47.8224261,NULL,1
Rua Cinco,Alta Vista,14059280,229651,9560,64931,"","",-21.20635620,-47.84970910,NULL,1
Rua Maria Colantonio,Alta Vista,14059283,229652,9560,64931,"","",-21.2195589,-47.7789137,NULL,1
Rua José Saretta Péra,Alta Vista,14059285,229653,9560,64931,"","",-21.2139290,-47.7771160,NULL,1
Rua Francisco Barizon,Alta Vista,14059287,229654,9560,64931,"","",-21.2214091,-47.8262273,NULL,1
Rua Doutor José Roberto Vieira de Almeida,Alta Vista,14059290,229655,9560,64931,"","",-21.1724411,-47.8098238,NULL,1
Rua Clementina Evangelista,Adelino Simioni,14071410,230554,9560,23274,"","",-21.1115591,-47.8000015,2,4
Rua Nair Barbosa Pinheiro,Adelino Simioni,14071420,230555,9560,23274,"","",-21.1111384,-47.8002682,2,4
Rua Arquimeu Dias Moreira,Adelino Simioni,14071430,230556,9560,23274,"","",-21.1107021,-47.8005250,2,4
Rua Manoel Navarro,Parque das Oliveiras,14065761,230276,9560,31008,"","",-21.120852,-47.839792,7,2
Rua Tapajós,Alto do Ipiranga,14055090,229049,9560,23276,"","",-21.1474796,-47.8236714,3,2
Travessa Anhangüera,Alto do Ipiranga,14055098,229050,9560,23276,"","",-21.1482952,-47.8244271,3,2
Rua Japurá,Alto do Ipiranga,14055100,229052,9560,23276,"","",-21.1530304,-47.8312741,3,2
Travessa Gurupá,Alto do Ipiranga,14055109,229054,9560,23276,"","",-21.1494966,-47.8287639,3,2
Rua Maria Ribeiro Miotto,Parque das Oliveiras,14065788,230298,9560,31008,"","",-21.1153308,-47.8335551,7,2
Rua Pedro Machado de Souza,Parque das Oliveiras,14065790,230299,9560,31008,"","",-21.1163730,-47.8329567,7,2
Rua Damasio Salviano do Nascimento,Parque das Oliveiras,14065793,230302,9560,31008,"","",-21.1175763,-47.8318194,7,2
Rua Hermelindo Faria,Residencial Vida Nova Ribeirão,14063052,230055,9560,65190,"","",-21.11463580,-47.83392860,7,2
Rua Walter Perticarrari,Residencial Vida Nova Ribeirão,14063055,230056,9560,65190,"","",-21.116964,-47.838172,7,2
Rua Sada Assed,Residencial Vida Nova Ribeirão,14063061,230057,9560,65190,"","",-21.115667,-47.839903,7,2
Rua Cento e Dezoito,Residencial Vida Nova Ribeirão,14063064,230058,9560,65190,"","",-21.109955,-47.836591,7,2
Rua Emma Josefa Miranda,Residencial Vida Nova Ribeirão,14063070,230059,9560,65190,"","",-21.114785,-47.835111,7,2
Rua Doutor Carlos Luiz Campana,Residencial Vida Nova Ribeirão,14063073,230060,9560,65190,"","",-21.114915,-47.836262,7,2
Rua Luiz Vanderlei da Veiro,Residencial Vida Nova Ribeirão,14063076,230061,9560,65190,"","",-21.11342020,-47.83416300,7,2
Rua Professora Victória Abdalla Rosário,Residencial Vida Nova Ribeirão,14063127,230076,9560,65190,"","",-21.113099,-47.837943,7,2
Avenida Maximilliam Max Maggioni,Residencial Vida Nova Ribeirão,14063160,230087,9560,65190,"","",-21.1150824,-47.8300344,7,2
Rua Manoel Vieira Carvalho,Residencial Vida Nova Ribeirão,14063163,230088,9560,65190,"","",-21.1167077,-47.8281550,7,2
Rua João Dias,Residencial Vida Nova Ribeirão,14063166,230089,9560,65190,"","",-21.1167077,-47.8281550,7,2
Rua Cinquenta e Seis,Residencial Vida Nova Ribeirão,14063169,230090,9560,65190,"","",-21.1167077,-47.8281550,7,2
Rua Gonçalves e Clarinda Limiro,Residencial Vida Nova Ribeirão,14063172,230091,9560,65190,"","",-21.1167077,-47.8281550,7,2
Rua Angelina Perissini Campi,Residencial Vida Nova Ribeirão,14063175,230092,9560,65190,"","",-21.1167077,-47.8281550,7,2
Rua 48C,Residencial Vida Nova Ribeirão,14063181,230093,9560,65190,"","",-21.1167077,-47.8281550,7,2
Rua Therezinha de Sant'Anna dos Santos,Residencial Vida Nova Ribeirão,14063202,230099,9560,65190,"","",-21.1167077,-47.8281550,7,2
Rua 66B,Residencial Vida Nova Ribeirão,14063205,230100,9560,65190,"","",-21.1167077,-47.8281550,7,2
Rua Victor Pinto Pinheiro,Residencial Vida Nova Ribeirão,14063220,230105,9560,65190,"","",-21.1212176,-47.8299191,7,2
Rua Gilberto Parizi,Residencial Vida Nova Ribeirão,14063238,230111,9560,65190,"","",-21.104220,-47.826486,7,2
Rua Osvair Germano Filho,Residencial Vida Nova Ribeirão,14063250,230115,9560,65190,"","",-21.1167077,-47.8281550,7,2
Rua Avelino Cândido da Rocha,Residencial Vida Nova Ribeirão,14063253,230116,9560,65190,"","",-21.100353,-47.825021,7,2
Rua Evaldo Grélo Garcia,Residencial Vida Nova Ribeirão,14063133,230078,9560,65190,"","",-21.113576,-47.838891,7,2
Rua Jair Rodrigues,Residencial Vida Nova Ribeirão,14063136,230079,9560,65190,"","",-21.113335,-47.839940,7,2
Rua Theolindo Marion,Residencial Vida Nova Ribeirão,14063139,230080,9560,65190,"","",-21.113955,-47.839938,7,2
Avenida Pedro Abrahão Além Neto,Residencial Vida Nova Ribeirão,14063142,230081,9560,65190,"","",-21.104557,-47.831755,7,2
Rua Luiz Dendini,Residencial Vida Nova Ribeirão,14063148,230083,9560,65190,"","",-21.111902,-47.840279,7,2
Rua Francisco Pedrilli,Residencial Vida Nova Ribeirão,14063154,230085,9560,65190,"","",-21.108831,-47.837326,7,2
Rua Sessenta e Um,Residencial Vida Nova Ribeirão,14063409,230160,9560,65190,"","",-21.101403,-47.827087,7,2
Rua Luzia das Graças Ribeiro Tardim,Residencial Vida Nova Ribeirão,14063157,230086,9560,65190,"","",-21.114238,-47.832163,7,2
Rua Cento e Vinte e Dois,Residencial Vida Nova Ribeirão,14063190,230095,9560,65190,"","",-21.107270,-47.825995,7,2
Rua Cento e Vinte e Três,Residencial Vida Nova Ribeirão,14063193,230096,9560,65190,"","",-21.106089,-47.823259,7,2
Via José Luiz Galvão,Bom Jesus,14058000,229605,9560,49465,"","",-21.1436464,-47.8323332,NULL,1
Avenida Vereador Manir Calil,Alto da Boa Vista,14025170,227684,9560,23275,"","",-21.1933826,-47.8191502,1,1
Rua São José,Alto da Boa Vista,14025186,227686,9560,23275,"","",-21.1907460,-47.8157742,1,1
Rua Orestes Guimarães,Alto da Boa Vista,14025189,227687,9560,23275,"","",-21.1992388,-47.8227670,1,1
Rua Paulino Faccioli,Avelino Alves Palma,14070350,230454,9560,23278,"","",-21.10982380,-47.79031080,2,4
Rua Aurora Corrêa Palma,Avelino Alves Palma,14070360,230455,9560,23278,"","",-21.1099775,-47.7917456,2,4
Praça Murilo Moreira Martins,Avelino Alves Palma,14070368,230456,9560,23278,"","",-21.11206690,-47.78718940,2,4
Rua Clarinda Brassolotto,Avelino Alves Palma,14070369,230457,9560,23278,"","",-21.1106165,-47.7918494,2,4
Rua Padre Donizetti,Avelino Alves Palma,14070370,230458,9560,23278,"","",-21.1106025,-47.7908392,2,4
Rua Oscar Zoega,Avelino Alves Palma,14070380,230459,9560,23278,"","",-21.1101840,-47.7911053,2,4
Rua José Gonzales Hierro,Avelino Alves Palma,14070390,230460,9560,23278,"","",-21.1097090,-47.7914276,2,4
Rua Arthur de Jesus Campos,Avelino Alves Palma,14070548,230476,9560,23278,"","",-21.1152626,-47.7859802,2,4
Rua José Sampaio,Avelino Alves Palma,14070550,230477,9560,23278,"","",-21.1159060,-47.7893707,2,4
Rua Augusto Carbonaro,Avelino Alves Palma,14070559,230478,9560,23278,"","",-21.1178487,-47.7875657,2,4
Avenida José Benelli,Avelino Alves Palma,14070560,230479,9560,23278,"","",-21.1130925,-47.7894361,2,4
Rua José Benedito da Silva,Avelino Alves Palma,14070570,230480,9560,23278,"","",-21.1134234,-47.7871186,2,4
Rua José Balestrin,Avelino Alves Palma,14070580,230481,9560,23278,"","",-21.1115702,-47.7858889,2,4
Rua Adair Fernandes de Matos,Avelino Alves Palma,14070590,230482,9560,23278,"","",-21.1172793,-47.7875091,2,4
Rua Carlos Trindade Picado,Avelino Alves Palma,14070600,230483,9560,23278,"","",-21.1167510,-47.7875206,2,4
Rua José Ferraz da Fonseca,Avelino Alves Palma,14070610,230484,9560,23278,"","",-21.1163142,-47.7877342,2,4
Rua Waldemar Lucca Kabariti,Avelino Alves Palma,14070620,230485,9560,23278,"","",-21.1158803,-47.7879560,2,4
Rua Benedita Aquino de Miranda,Avelino Alves Palma,14070630,230486,9560,23278,"","",-21.1154316,-47.7881590,2,4
Rua Doutor Jarbas Martins Viana,Avelino Alves Palma,14070635,230487,9560,23278,"","",-21.1154263,-47.7894373,2,4
Rua Nacime Elias,Avelino Alves Palma,14070640,230488,9560,23278,"","",-21.1146052,-47.7887529,2,4
Rua Santa Clara,Avelino Alves Palma,14070650,230489,9560,23278,"","",-21.1135427,-47.7861410,2,4
Rua Doutor Domingos Sgorlon,Avelino Alves Palma,14070660,230490,9560,23278,"","",-21.1137648,-47.7879466,2,4
Rua Soldado Adaílson Raimundo da Silva,Avelino Alves Palma,14070670,230491,9560,23278,"","",-21.1129530,-47.7873495,2,4
Rua Raphael de Lucca,Avelino Alves Palma,14070680,230492,9560,23278,"","",-21.11251170,-47.78754060,2,4
Rua Virgílio Antônio Simionato,Avelino Alves Palma,14070690,230493,9560,23278,"","",-21.1120525,-47.7877592,2,4
Rua Bernardo Monteiro,Avelino Alves Palma,14070700,230494,9560,23278,"","",-21.1109036,-47.7861845,2,4
Rua Vereador Romero Barbosa,Avelino Alves Palma,14070710,230495,9560,23278,"","",-21.11044490,-47.78640990,2,4
Rua Garibaldi,Alto da Boa Vista,14025190,227688,9560,23275,"","",-21.1906629,-47.8142928,1,1
Rua Abílio Rebordões,Alto da Boa Vista,14025199,227689,9560,23275,"","",-21.2011085,-47.8224171,1,1
Rua Sete de Setembro,Alto da Boa Vista,14025200,227690,9560,23275,"","",-21.1925894,-47.8146442,1,1
Praça Rainha Dona Leonor de Lencastre,Alto da Boa Vista,14025209,227691,9560,23275,"","",-21.1947445,-47.8160879,1,1
Rua Marechal Deodoro,Alto da Boa Vista,14025210,227692,9560,23275,"","",-21.1935943,-47.8143069,1,1
Rua Floriano Peixoto,Alto da Boa Vista,14025220,227693,9560,23275,"","",-21.1952189,-47.8144211,1,1
Avenida Independência,Alto da Boa Vista,14025230,227694,9560,23275,"","",-21.1948681,-47.8128123,1,1
Avenida Independência,Alto da Boa Vista,14025235,227695,9560,23275,"","",-21.1950192,-47.8127396,1,1
Avenida Itatiaia,Alto da Boa Vista,14025240,227696,9560,23275,"","",-21.1930604,-47.8125831,1,1
Praça Professor João Luiz de Campos,Alto da Boa Vista,14025249,227698,9560,23275,"","",-21.1704008,-47.8103238,1,1
Rua Itacolomi,Alto da Boa Vista,14025250,227699,9560,23275,"","",-21.1932401,-47.8139263,1,1
Rua José Leal,Alto da Boa Vista,14025260,227700,9560,23275,"","",-21.1950668,-47.8129467,1,1
Rua Ayrton Roxo,Alto da Boa Vista,14025270,227701,9560,23275,"","",-21.1951756,-47.8143639,1,1
Praça Damasco,Alto da Boa Vista,14025279,227702,9560,23275,"","",-21.1704008,-47.8103238,1,1
Rua Henrique Franco,Alto da Boa Vista,14025280,227703,9560,23275,"","",-21.1943803,-47.8169240,1,1
Rua Nélio Guimarães,Alto da Boa Vista,14025290,227704,9560,23275,"","",-21.2013263,-47.8089380,1,1
Praça Maria Tereza Monici Basile,Alto da Boa Vista,14025299,227705,9560,23275,"","",-21.1704008,-47.8103238,1,1
Rua Moreira de Oliveira,Alto da Boa Vista,14025300,227706,9560,23275,"","",-21.1953430,-47.8188318,1,1
Avenida Caramuru,Alto da Boa Vista,14025303,227707,9560,23275,"","",-21.1938144,-47.8216369,1,1
Rua Soares Castilho,Alto da Boa Vista,14025309,227708,9560,23275,"","",-21.1939708,-47.8211037,1,1
Avenida Professor João Fiúsa,Alto da Boa Vista,14025310,227709,9560,23275,"","",-21.2048192,-47.8093042,1,1
Praça Doutor Osmani Emboaba da Costa,Alto da Boa Vista,14025319,227710,9560,23275,"","",-21.1999099,-47.8165413,1,1
Avenida Professor João Fiúsa,Alto da Boa Vista,14025320,227711,9560,23275,"","",-21.2044448,-47.8097919,1,1
Rua Maria Quitéria,Alto da Boa Vista,14025325,227712,9560,23275,"","",-21.1974921,-47.8205802,1,1
Rua Professor Vespaziano Pizza,Alto da Boa Vista,14025330,227713,9560,23275,"","",-21.1985922,-47.8208081,1,1
Praça Acácio Balieiro,Alto da Boa Vista,14025339,227714,9560,23275,"","",-21.1704008,-47.8103238,1,1
Rua Doutor Rocha Fragoso,Alto da Boa Vista,14025340,227715,9560,23275,"","",-21.1996354,-47.8209100,1,1
Avenida Doutor João Palma Guião,Alto da Boa Vista,14025350,227716,9560,23275,"","",-21.1994226,-47.8174695,1,1
Rua Nestor Moreira,Alto da Boa Vista,14025360,227717,9560,23275,"","",-21.2022112,-47.8210706,1,1
Rua César Lattes,Alto da Boa Vista,14025370,227718,9560,23275,"","",-21.2010603,-47.8196932,1,1
Rua Otávio Magalhães,Alto da Boa Vista,14025380,227719,9560,23275,"","",-21.2020513,-47.8195883,1,1
Rua Professor Mário Roxo,Alto da Boa Vista,14025460,227737,9560,23275,"","",-21.1997100,-47.8100470,1,1
Rua Aziz Nader,Alto da Boa Vista,14025469,227738,9560,23275,"","",-21.2005957,-47.8094562,1,1
Rua Stélio Machado Loureiro,Alto da Boa Vista,14025470,227739,9560,23275,"","",-21.2008133,-47.8118271,1,1
Avenida Anhanguera,Alto da Boa Vista,14025480,227740,9560,23275,"","",-21.1984814,-47.8143662,1,1
Praça Robin Antônio Calil,Alto da Boa Vista,14025487,227741,9560,23275,"","",-21.1704008,-47.8103238,1,1
Praça Roberto Andreoli,Alto da Boa Vista,14025488,227742,9560,23275,"","",-21.1704008,-47.8103238,1,1
Praça Professor Benoni Ferreira Gabarra,Alto da Boa Vista,14025489,227743,9560,23275,"","",-21.1704008,-47.8103238,1,1
Rua Marquês de Valença,Alto da Boa Vista,14025490,227744,9560,23275,"","",-21.1998735,-47.8150341,1,1
Avenida Eduardo Lopes da Silva,Alto da Boa Vista,14025500,227745,9560,23275,"","",-21.1985008,-47.8164174,1,1
Rua Doutor Jorge Tibiriçá,Alto da Boa Vista,14025510,227746,9560,23275,"","",-21.2031977,-47.8133538,1,1
Rua Adolfo Serra,Alto da Boa Vista,14025520,227747,9560,23275,"","",-21.2063433,-47.8114087,1,1
Rua Professor Alonso Ferraz,Alto da Boa Vista,14025530,227748,9560,23275,"","",-21.2040778,-47.8167891,1,1
Rua Mariano Pedroso de Almeida,Alto da Boa Vista,14025540,227749,9560,23275,"","",-21.2084525,-47.8136124,1,1
Rua Doutor Romeu Pereira,Alto da Boa Vista,14025550,227750,9560,23275,"","",-21.1971713,-47.8135624,1,1
Rua Maringá,Alto da Boa Vista,14025560,227751,9560,23275,"","",-21.1965405,-47.8120665,1,1
Avenida Doutor João Palma Guião,Alto da Boa Vista,14025563,227752,9560,23275,"","",-21.1994219,-47.8174656,1,1
Rua Pirajá da Silva,Alto da Boa Vista,14025570,227753,9560,23275,"","",-21.2019440,-47.8174768,1,1
Rua Padre Leopoldino Fernandes,Alto da Boa Vista,14025580,227754,9560,23275,"","",-21.2023827,-47.8168643,1,1
Rua Doutor Hortêncio Mendonça Ribeiro,Alto da Boa Vista,14025590,227755,9560,23275,"","",-21.2052561,-47.8183009,1,1
Rua Elzira Sammarco Palma,Bosque das Juritis,14021684,227526,9560,46681,"","",-21.2165020,-47.8040913,1,1
Avenida da Saudade,Campos Elíseos,14080000,231207,9560,23279,"","",-21.1613368,-47.8007232,1,1
Praça Santo Antônio,Campos Elíseos,14080010,231208,9560,23279,"","",-21.1654876,-47.8049174,1,1
Rua Paraíba,Campos Elíseos,14080020,231209,9560,23279,"","",-21.1648473,-47.8050456,1,1
Rua Major Carvalho,Campos Elíseos,14080030,231210,9560,23279,"","",-21.1604473,-47.8030181,1,1
Rua Sergipe,Campos Elíseos,14080040,231211,9560,23279,"","",-21.1659862,-47.8086556,1,1
Travessa Sergipe,Campos Elíseos,14080049,231212,9560,23279,"","",-21.1647592,-47.8071526,1,1
Travessa Aracaju,Campos Elíseos,14080050,231213,9560,23279,"","",-21.1629574,-47.8073295,1,1
Rua Maestro José Delfino Machado,Campos Elíseos,14080060,231214,9560,23279,"","",-21.1638588,-47.8054804,1,1
Rua Pompeu de Camargo,Campos Elíseos,14080070,231215,9560,23279,"","",-21.1670911,-47.8108597,1,1
Rua Alagoas,Campos Elíseos,14080080,231216,9560,23279,"","",-21.1662109,-47.8111933,1,1
Rua Luiz Barreto,Campos Elíseos,14080090,231217,9560,23279,"","",-21.1559299,-47.8026215,1,1
Travessa Monte Castelo,Campos Elíseos,14080095,231218,9560,23279,"","",-21.1636182,-47.8083939,1,1
Travessa Santa Terezinha,Campos Elíseos,14080096,231219,9560,23279,"","",-21.1769656,-47.7859498,1,1
Travessa São Jorge,Campos Elíseos,14080097,231220,9560,23279,"","",-21.1602575,-47.8052046,1,1
Travessa Melle,Campos Elíseos,14080098,231221,9560,23279,"","",-21.2134340,-47.8118656,1,1
Praça Comendador Rômulo Morandi,Campos Elíseos,14080099,231222,9560,23279,"","",-21.1586321,-47.8052337,1,1
Rua Marquês de Pombal,Campos Elíseos,14080100,231223,9560,23279,"","",-21.1543038,-47.8025714,1,1
Travessa Pedro de Toledo,Campos Elíseos,14080107,231224,9560,23279,"","",-21.1622137,-47.8084110,1,1
Travessa Nossa Senhora Aparecida,Campos Elíseos,14080108,231225,9560,23279,"","",-21.1545499,-47.8018591,1,1
Travessa Sargento Machado,Campos Elíseos,14080109,231226,9560,23279,"","",-21.1704008,-47.8103238,1,1
Rua Silveira Martins,Campos Elíseos,14080110,231227,9560,23279,"","",-21.1574367,-47.8063434,1,1
Travessa Doutor Carlos Rao,Campos Elíseos,14080118,231228,9560,23279,"","",-21.1572754,-47.8062044,1,1
Travessa Ângela,Campos Elíseos,14080119,231229,9560,23279,"","",-21.1543272,-47.8037174,1,1
Avenida Marechal Costa e Silva,Campos Elíseos,14080120,231230,9560,23279,"","",-21.1455481,-47.7993873,1,1
Praça Conde Francisco Matarazzo Júnior,Campos Elíseos,14080129,231232,9560,23279,"","",-21.1704008,-47.8103238,1,1
Avenida Marechal Costa e Silva,Campos Elíseos,14080130,231233,9560,23279,"","",-21.1459676,-47.7997385,1,1
Praça Deputado José Costa,Campos Elíseos,14080139,231234,9560,23279,"","",-21.1704008,-47.8103238,1,1
Avenida Doutor Francisco Junqueira,Campos Elíseos,14080140,231235,9560,23279,"","",-21.1705949,-47.8087607,1,1
Avenida Fábio Barreto,Campos Elíseos,14080150,231236,9560,23279,"","",-21.1682447,-47.8124985,1,1
